timestamp,website_url,error_type,error_message,region
2026-02-23T20:42:26.793Z,imrworldwide.com,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.imrworldwide.com,us
2026-02-23T20:42:34.243Z,quizlet.com,http,403,us
2026-02-23T20:42:45.691Z,akamaihd.net,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.akamaihd.net,us
2026-02-23T20:42:59.571Z,corriere.it,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,us
2026-02-23T20:43:20.997Z,sentinelone.net,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,us
2026-02-23T20:43:45.068Z,bol.com,http,403,us
2026-02-23T20:44:02.477Z,coupang.com,http,403,us
2026-02-23T20:44:05.915Z,redfin.com,http,405,us
2026-02-23T20:44:07.693Z,linklist.bio,internal,"AbandonedError: The analyzer was abandoned, probably due to inactivity",us
2026-02-23T20:44:23.133Z,wbx2.com,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,us
2026-02-23T20:44:26.832Z,run.app,http,404,us
2026-02-23T20:44:28.421Z,fbsbx.com,http,404,us
2026-02-23T20:44:40.068Z,microsoftpersonalcontent.com,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.microsoftpersonalcontent.com,us
2026-02-23T20:44:41.124Z,flipkart.com,http,403,us
2026-02-23T20:44:43.989Z,nexusmods.com,http,403,us
2026-02-23T20:44:44.745Z,kohls.com,http,403,us
2026-02-23T20:45:04.345Z,newsweek.com,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,us
2026-02-23T20:45:28.843Z,box.com,http,403,us
2026-02-23T20:45:32.907Z,anydesk.com,http,403,us
2026-02-23T20:45:37.679Z,samsungapps.com,internal,ReferenceError: gatherer is not defined,us
2026-02-23T20:45:38.775Z,oraclecloud.com,http,403,us
2026-02-23T20:45:50.373Z,businesswire.com,http,403,us
2026-02-23T20:46:08.974Z,columbia.edu,http,403,us
2026-02-23T20:46:11.493Z,moneycontrol.com,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,us
2026-02-23T20:46:24.123Z,huffingtonpost.com,internal,ReferenceError: gatherer is not defined,us
2026-02-23T20:46:37.440Z,leboncoin.fr,http,403,us
2026-02-23T20:47:42.985Z,hltv.org,http,403,us
2026-02-23T20:48:09.491Z,forter.com,internal,ReferenceError: gatherer is not defined,us
2026-02-23T20:48:10.638Z,nu.nl,http,403,us
2026-02-23T20:48:12.466Z,archiveofourown.org,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,us
2026-02-23T20:48:14.447Z,myqcloud.com,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.myqcloud.com,us
2026-02-23T20:48:25.440Z,economist.com,http,403,us
2026-02-23T20:48:30.950Z,umich.edu,http,403,us
2026-02-23T20:48:33.419Z,msftauth.net,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.msftauth.net,us
2026-02-23T20:48:33.708Z,bet365.com,http,403,us
2026-02-23T20:48:34.426Z,docomo.ne.jp,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,us
2026-02-23T20:48:58.559Z,india.com,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,us
2026-02-23T20:49:03.619Z,espncricinfo.com,internal,ReferenceError: gatherer is not defined,us
2026-02-23T20:49:33.583Z,oxylabs.io,internal,TypeError: Cannot read properties of undefined (reading 'length'),us
2026-02-23T20:49:50.119Z,ad.nl,http,403,us
2026-02-23T20:49:50.609Z,spankbang.com,http,403,us
2026-02-23T20:51:02.361Z,kwcdn.com,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.kwcdn.com,us
2026-02-23T20:51:02.378Z,makemytrip.com,http,403,us
2026-02-23T20:51:14.587Z,i18n-pglstatp.com,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.i18n-pglstatp.com,us
2026-02-23T20:51:35.811Z,apkpure.net,http,403,us
2026-02-23T20:51:36.682Z,idealista.com,http,403,us
2026-02-23T20:51:36.780Z,livedoor.jp,http,403,us
2026-02-23T20:51:52.611Z,usnews.com,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,us
2026-02-23T20:51:53.139Z,hln.be,http,403,us
2026-02-23T20:52:25.616Z,kicker.de,http,403,us
2026-02-23T20:52:40.049Z,odoo.com,http,403,us
2026-02-23T20:52:44.265Z,jusbrasil.com.br,http,403,us
2026-02-23T20:52:44.405Z,autotrader.co.uk,http,403,us
2026-02-23T20:52:45.317Z,fanfiction.net,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,us
2026-02-23T20:52:46.566Z,merkur.de,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,us
2026-02-23T20:52:48.380Z,janitorai.com,http,403,us
2026-02-23T20:52:49.314Z,sahibinden.com,http,403,us
2026-02-23T20:53:06.829Z,ebay.it,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,us
2026-02-23T20:53:07.692Z,donmai.us,http,404,us
2026-02-23T20:53:15.584Z,8lyyu1vb4.com,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.8lyyu1vb4.com,us
2026-02-23T20:53:23.401Z,justdial.com,http,403,us
2026-02-23T20:53:54.211Z,missav.ws,http,403,us
2026-02-23T20:54:07.479Z,boyfriendtv.com,http,403,us
2026-02-23T20:54:15.137Z,apple.news,internal,NullError: Response was null,us
2026-02-23T20:54:18.629Z,bookmyshow.com,http,403,us
2026-02-23T20:54:25.346Z,dbankcloud.cn,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,us
2026-02-23T20:55:00.910Z,leroymerlin.fr,http,403,us
2026-02-23T20:55:01.550Z,skroutz.gr,http,403,us
2026-02-23T20:55:04.269Z,bookmark.xxx,http,451,us
2026-02-23T20:55:24.489Z,jalan.net,http,503,us
2026-02-23T20:55:26.975Z,zozo.jp,http,403,us
2026-02-23T20:55:28.410Z,hollywoodbets.net,http,403,us
2026-02-23T20:55:37.560Z,oecd.org,http,403,us
2026-02-23T20:55:39.656Z,cityheaven.net,http,403,us
2026-02-23T20:55:42.803Z,hilton.com,http,403,us
2026-02-23T20:55:46.985Z,idealista.it,http,403,us
2026-02-23T20:55:56.987Z,cm65.com,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.cm65.com,us
2026-02-23T20:56:10.929Z,prom.ua,http,429,us
2026-02-23T20:56:11.969Z,p2yn.com,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.p2yn.com,us
2026-02-23T20:56:15.376Z,trello.com,internal,TypeError: Cannot read properties of undefined (reading 'length'),us
2026-02-23T20:56:16.627Z,tsyndicate.com,internal,Error: net::ERR_ABORTED at http://tsyndicate.com,us
2026-02-23T20:56:45.218Z,uidai.gov.in,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,us
2026-02-23T20:56:55.647Z,gcdn.co,internal,Error: net::ERR_EMPTY_RESPONSE at http://gcdn.co,us
2026-02-23T20:56:57.728Z,suumo.jp,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,us
2026-02-23T20:57:07.716Z,1mg.com,http,403,us
2026-02-23T20:57:08.319Z,dkitrxmdwoqruvsi.net,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.dkitrxmdwoqruvsi.net,us
2026-02-23T20:57:09.547Z,byteoversea.com,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.byteoversea.com,us
2026-02-23T20:57:16.276Z,x3os.com,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.x3os.com,us
2026-02-23T20:57:20.440Z,banvenez.com,internal,Error: net::ERR_NAME_NOT_RESOLVED at http://www.banvenez.com,us
2026-02-23T20:57:24.031Z,fmkorea.com,http,430,us
2026-02-23T20:58:59.248Z,livehindustan.com,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,us
2026-02-23T20:59:03.003Z,hanime1.me,http,403,us
2026-02-23T20:59:10.772Z,luxuretv.com,http,403,us
2026-02-23T20:59:12.229Z,up.gov.in,internal,TimeoutError: Navigation timeout of 90000 ms exceeded,us
2026-02-23T20:59:12.803Z,mangabuff.ru,http,403,us
2026-02-23T20:59:16.098Z,missav.ai,http,403,us
2026-02-23T20:59:30.763Z,shahvani.com,http,403,us
2026-02-23T20:59:36.192Z,supjav.com,http,403,us
2026-02-23T20:59:38.299Z,upmusics.com,internal,Error: net::ERR_INVALID_REDIRECT at http://upmusics.com,us
2026-02-23T20:59:40.804Z,wnacg.com,http,403,us
2026-02-23T20:59:46.427Z,ptt.cc,internal,Error: net::ERR_CONNECTION_CLOSED at http://ptt.cc,us
